player_name,expected_assists,x_g_expected_goals,minutes_played,xG_xA,xG_xA_p90
K. Tsimikas,6,0.76,941,6.76,0.6465462274176408
Edward Nketiah,1,4.8,940,5.8,0.5553191489361702
M. Doherty,2,2.4,957,4.4,0.4137931034482759
James Philip Milner,2,0.4,926,2.4,0.23326133909287258
Kieran Dowell,1,1.03,971,2.0300000000000002,0.18815653964984555
Curtis Jones,1,0.7,908,1.7,0.16850220264317178
Nathan Benjamin Ake,-,1.33,992,1.33,0.12066532258064518
Ken Nlata Sema,1,0.18,949,1.18,0.1119072708113804
Harry Winks,1,0.18,997,1.18,0.10651955867602808
Jeremy Ngakia,1,0.06,968,1.06,0.09855371900826447
A. Ogbonna,-,1.03,995,1.03,0.09316582914572864
Rob Holding,-,0.89,920,0.89,0.08706521739130435
Yerry Mina,-,0.4,917,0.4,0.03925845147219193
Ozan Muhammed Kabak,-,0.35,980,0.35,0.03214285714285714
W. Boly,-,0.24,988,0.24,0.02186234817813765
Marvelous Nakamba,-,-,985,0,0
Joe Rodon,-,-,98,0,0
