player_name,team,shots,shots_on_target_percent,shots_on_target_percent_percentil
Emile Smith Rowe,Arsenal,39,67,91.8
Jean-Philippe Mateta,Crystal Palace,31,61,90.2
Heung-Min Son,Tottenham,81,60,87.9
Raheem Sterling,Man City,55,58,86.3
D. Welbeck,Brighton,36,58,86.3
Che Adams,Southampton,45,56,84.3
Conor Gallagher,Crystal Palace,49,55,83.8
Jamie Vardy,Leicester,49,55,83.8
Bernardo Silva,Man City,41,54,83
Callum Wilson,Newcastle Utd.,31,52,82
Mohamed Salah,Liverpool,128,51,81.4
Maxwel Cornet,Burnley,45,51,81.4
Kai Lukas Havertz,Chelsea,48,50,73.7
Jack Harrison,Leeds United,41,49,72.7
Odsonne Edouard,Crystal Palace,37,49,72.7
M. Klich,Leeds United,39,49,72.7
Armando Broja,Southampton,43,49,72.7
W. Zaha,Crystal Palace,69,48,71.1
James Maddison,Leicester,72,47,68.8
Harry Kane,Tottenham,127,47,68.8
